msg,timestamp,event_type,symbol,side,entry_price,dca_price,take_profits,stop_loss,portion_pct,leverage,r_multiple,roi_pct,price_ref,risk_note,rationale,indicators_mentioned,market_context,quote,confidence,link
600,2026-06-25 16:58:03,call,BTCUSDT,long,58200,,,56000,50,,,,,DCA 50% (half the size held back for a DCA),"re-longs BTC lower after the breakeven exit, half size in now with 50% reserved for a DCA; no DCA level given",,,"Long BTC

Entry: 58.2k CMP 
DCA 50%

SL: 56k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1519703224897241119
601,2026-06-25 16:58:43,entry,BTCUSDT,long,58500,,,,,,,,58200,,clarifies that the 58.2k in the call is the current market price while his own fill is 58.5k,,,"58.2k is the CMP, mine is 58.5k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1519703393063534754
602,2026-06-25 17:10:34,partial_close,BTCUSDT,long,58616.4,,,,70,150,,226.87,59502.9,,banks 70% of the fresh long at ~59.5k,,,"70% here, remaining at 60k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1519706372655284456
602,2026-06-25 17:10:34,tp_set,BTCUSDT,long,58616.4,,60000,,30,150,,,,,remaining 30% left to close at 60k,,,"70% here, remaining at 60k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1519706372655284456
603,2026-06-25 17:18:22,close,BTCUSDT,long,,,,,100,,,,59100,,closes everything at 59.1k because his own average entry was poor; tells members whose entry is 58.4k or lower to keep running,,,"Okay I closed all at 59.1k because my entry is bad, if your entry is 58.4k or lower keep it running",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1519708337221009442
604,2026-06-25 17:21:57,update,,,,,,,,,,,,,"says something is not listed on Blofin so he cancelled it - AMBIGUOUS: he names no instrument and the surrounding thread is BTC (which is on Blofin), so the symbol cannot be determined",,,Not available on BLOFIN so just cancelled,low,https://discord.com/channels/1042855255089623100/1501271173588193290/1519709239126266019
605,2026-06-25 17:37:58,tp_hit,BTCUSDT,long,58305.1,,60000,,,,,,60008.6,,"the 60k target on the scaled BTC long filled at 60,008.6; he notes he caught both yesterday's and today's bottom bounce. Card entry 58,305.1 differs from the 58,616.4 shown 27 minutes earlier - recorded as posted",,,"60k hit, caught both yesterday's + today's bottom bounce",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1519713271895293992
607,2026-06-25 18:39:49,plan,BTCUSDT,long,58000,,,,,,,,,,"conditional re-entry: doubts BTC returns to 58k today, but if it does he will run the same setup again",,,"Don't think BTC comes to 58k today now, if it does, will play same setup",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1519728837150249164
607,2026-06-25 18:39:49,view,BTCUSDT,,,,,,,,,,62000,,bullish into the weekend - expects BTC to grind up from here to around 62k,,weekend,really think BTC will move up from here to around 62k by the weekend,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1519728837150249164
608,2026-06-26 08:28:49,call,BTCUSDT,long,59800,,61000,58200,,,,,,Half risk trade,"tight-range long at market for 61k with a 58.2k invalidation, sized at half his normal risk",,,"Long BTC 

Entry: 59.8k CMP 

TP: 61k

SL: 58.2k

Half risk trade",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1519937459322884237
609,2026-06-26 16:53:58,breakeven,BTCUSDT,long,59800,,61000,,100,,,,,,"price came within $200 of the 61k target without filling it, so he takes the half-risk long off flat rather than risk a reversal; entry taken from the call he is replying to",,,BTC missed target by 200$ will close this on BE for now,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520064585850290318
610,2026-06-26 16:56:12,update,SOLUSDT,long,,,"75, 85",,,10,,,,set-and-forget swing with 10% margin on a side app,"discloses a 10x SOL swing long he had mentioned in chat and forgotten about; calls SOL the strongest mainstream alt and expects 75-85 in July (forecast levels, not resting orders)",,,"I mentioned a few days ago in chat that I have long sol with a 10x and forgot, SOL is the strongest don't miss out, you'll see it 75-85 easily in July",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520065148054671480
611,2026-06-26 16:56:14,update,SOLUSDT,long,67.55,,,,,10,,40.71,70.3,,image-only post with no text: Blofin card evidencing the open 10x SOL long he had just described,,,"[IMAGE 201, no message text: SOLUSDT long 10x entry 67.55 mark 70.3 ROI 40.71% (open)]",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520065157294854234
612,2026-06-26 17:15:43,dca,SOLUSDT,long,,66,,,,,,,,,screenshot of his own earlier message shows he added to SOL at 66 - the bottom - but he regrets not publishing a long call there,,,"Really bought yesterday's bottom, regret not giving a long here.",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1520070058137747557
613,2026-06-26 18:39:27,plan,BTCUSDT,long,,,,,,,,,62000,,"thinks the dump is done for the weekend and BTC heads to at least 62k, so he will look for another BTC long; no entry level given yet",,weekend; dump likely over,"Feels like dumps over for the weekend and we should be heading to 62k at least, will look for a BTC long again.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520091131084275922
613,2026-06-26 18:39:27,update,TOSHIUSDT,long,,,,,,,,,,,flags that the TOSHI gamble long is in profit and running,,,TOSHI running!,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520091131084275922
614,2026-06-26 18:42:00,view,SOLUSDT,long,,,,,,,,,75,,"expects SOL 75-78 by the weekend (lower bound recorded, full range 75-78); notes he is long from the bottom and nobody followed him in",,weekend,"SOL to 75-78 by weekend most likely, feels bad being in a long alone from the bottom",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520091772611723474
615,2026-06-27 06:16:37,call,BEATUSDT,long,2.6,,,2,,,,,,Risky trade invest max of a 5% of your spot; officially a spot call,"he has already bought BEAT spot around 2.6 expecting a 40-100% scam pump; a leveraged version is allowed with 2 as the stop, but he publishes it as a spot call",,,"Bought some BEAT in spot around 2.6
Risky trade invest max of a 5% of your spot

Can also long with 2 as SL but officially it's a spot call.

Expecting a spam pump a 40-100% scam pump.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520266578879316088
616,2026-06-27 06:20:08,call,BTCUSDT,long,60000,,65000,56800,,,,,,,a swing idea offered to members rather than a trade he is taking - he says he will scalp later instead; long side implied by TP above and SL below entry,,,"BTC swing idea

Entry: 60k CMP 

TP: 65k

SL: 56800

Just an idea if anyone wants to swing, I'll take a scalp later on.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520267462292144128
617,2026-06-28 16:24:41,update,TOSHIUSDT,long,0.0001101,,,,,,1.5,,0.0001297,,TOSHI pumped off his entry zone - a 25% spot move worth 1.5R; chart also shows heavily negative funding (-1.1492%),funding,,TOSHI up 25% in spot move + 1.5R move,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520781991736250500
618,2026-06-28 16:24:44,update,TOSHIUSDT,long,0.0001101,,,,,50,,965.92,0.0001314,,image-only post with no text: Blofin card proving the 50x TOSHI long caught the pump,,,"[IMAGE 204, no message text: TOSHIUSDT long 50x entry 0.0001101 mark 0.0001314 ROI 965.92% (open)]",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520782003539279924
619,2026-06-28 17:33:19,sl_move,TOSHIUSDT,long,,,,0.0001126,,,,,,,moves the TOSHI stop above entry (0.0001101) to lock in profit,,,SL to 0.0001126 in profits,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520799264299814952
619,2026-06-28 17:33:19,partial_close,TOSHIUSDT,long,,,,,20,,1.0,,,,"takes only 20% off at around 1R, leaving the bulk to run on the profit stop",,,Take 20% here only around 1R,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520799264299814952
620,2026-06-29 02:53:53,call,BTCUSDT,short,59700,62000,"56000, 57000",64000,50,,,,,DCA 50% @ 62k; you can enter around DCA for a better R,"he wants to buy the 57k region anyway, so he shorts into it; entry 59700 CMP (or 60k as an alternative), manual TP around 56-57k, wide 64k stop",,,"Short BTC (swing)

Entry: 59700 CMP or 60k
DCA 50% @ 62k

Will TP manually somewhere around 56-57k

SL: 64k

I want to long from 57k region so why not try a short, you can enter around DCA for a better R",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520940334593609748
621,2026-06-29 02:54:44,plan,BTCUSDT,long,,,,,,,,,,,"will run a long alongside the swing short, but is waiting for a new daily low to trigger it; no level given",daily low,,"I'll long too, waiting for a new daily low for that",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520940547701997568
622,2026-06-29 05:42:18,update,BTCUSDT,long,,,,,,,,,59000,,"wanted a 59k scalp long but price moved up too fast for him to post it - the setup was missed, not taken",,crazy wicks up and down,"Wanted to scalp long at 59k but went up so fast couldn't update, crazy wicks up down.",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1520982719801327636
623,2026-06-29 06:12:13,update,BTCUSDT,long,59200.0,,,,,150,,218.89,60063.9,,"price ran $500 while he was writing the post, so he got in at 59,200 with a resting DCA below; expects a good pump and hopes the DCA fills",,,"Price went way up fast, was writing and it was 500$ up, this will pump good I just hope it fills DCA",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1520990245573623900
624,2026-06-29 20:22:36,view,HYPEUSDT,long,,,,,,,,,,,names HYPE alongside SOL as an alt not to miss; no levels or position given for HYPE,,,HYPE and SOL don't miss on these!,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1521204253857681418
624,2026-06-29 20:22:36,update,SOLUSDT,long,68.46,,80,,,10,,110.42,76.02,,"the SOL swing long is up 110%; he expects 80+ by the weekend (a forecast, not a resting order). Card entry 68.46 differs from the 67.55 shown on 26 Jun - recorded as posted",,weekend,"Kept telling everyone to get SOL it's gonna run the hardest, HYPE and SOL don't miss on these!

80+ by this weekend in my opinion",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521204253857681418
625,2026-06-29 20:33:21,view,,,,,,,,,,,,,broad market call: July should be a relief/pump month and better than June,,expects July to be a pumpy relief month after a poor June,"July will be a pumpy pumpy month, at least better than June I'm telling you, it's a relief month.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521206960035467455
626,2026-06-29 20:47:37,view,,,,,,,,,,,,,"refines the July call: at most the first 7-10 days bearish, then a hard run up",,"first 7-10 days of July bearish, then a hard run up","Maximum of the first 7-10 days bearish, then a hard run up!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521210547419484381
627,2026-06-30 16:02:13,call,BTCUSDT,long,58300,,,56300,,,,,,,"new long at market with a 56.3k stop, run alongside the swing short from 60k; no target given here (a 59180 scalp target follows in MSG 629)",,,"Long BTC 

Entry: 58.3k CMP 

SL: 56.3k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521501113877139617
627,2026-06-30 16:02:13,tp_move,BTCUSDT,short,60000,,57550,,,,,,,,"fixes a hard target of 57550 on the swing short, replacing the 'manually somewhere around 56-57k' from the MSG 620 call; he cites his fill as 60k (the call said 59700 CMP or 60k)",,,"Short running from 60k, TP @ 57550",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521501113877139617
628,2026-06-30 16:02:27,tp_move,BTCUSDT,short,,,57550,,,,,,,,posts the 57550 target directly under the original swing-short call so members see it against the setup; supersedes the 56-57k manual TP,,,TP @ 57550,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521501170852434084
629,2026-06-30 16:44:44,tp_set,BTCUSDT,long,58300,,59180,,,,,,,,reframes the 58.3k long as a scalp with a first target of 59180; entry taken from the call he is replying to,,,"Scalp, TP @ 59180",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521511811126657194
630,2026-06-30 16:46:29,call,HYPEUSDT,long,64.8,,68,62.7,,,,,,A bit risky,relative strength play - HYPE is holding well and a BTC bounce from the 57-58k region should send it higher,,expects a BTC bounce around 57-58k to lift HYPE,"Long HYPE

Entry: 64.8 CMP 

TP: 68

SL: 62.7

A bit risky but HYPEs holding well, BTC bounce around 57-58k may send it higher",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521512253352841236
631,2026-06-30 17:22:10,tp_hit,BTCUSDT,long,,,59180,,50,,,,59104.4,,"the 59180 scalp target filled almost instantly and he took 50% off; the crop shows the closed portion at an average 59,104.4",,,"Long Scalp TP got hit instantly, out 50%",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521521232489611396
631,2026-06-30 17:22:10,tp_move,BTCUSDT,long,,,59500,,,,,,,,target for the remaining 50% moved up to around 59.5k after the first TP filled,,,remaining around 59.5k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521521232489611396
631,2026-06-30 17:22:10,sl_move,BTCUSDT,long,,,,57000,,,,,,,stop tightened to 57k (called at 56.3k in msg 627) now that half is booked,,,Moving SL to 57k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521521232489611396
631,2026-06-30 17:22:10,dca,BTCUSDT,long,,58200,,,25,,,,,,plans to put 25% of the size back on at 58.2k if price comes back down,,,will add 25% back at 58.2k if we go back,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521521232489611396
632,2026-06-30 17:22:41,update,BTCUSDT,long,,,,,,,,,,"this was without DCA, 1 entry was in heavy","explains the unusual partial: the position was a single heavy entry with no DCA saved, so he trimmed; still holding the rest",,,"I don't take partials usually but this was without DCA, 1 entry was in heavy

Still holding",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1521521363695964220
633,2026-06-30 17:23:50,plan,BTCUSDT,long,,,,,,,,,59300,,"conditional exit: if there is a hard rejection off the 50 EMA at 59.3k, get out there - he may not be able to update in time",EMA,,"EMA 50 @ 59.3k if you see a hard rejection exit there, I'll try to update in shower rn so",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1521521651060052028
634,2026-06-30 17:58:28,update,BTCUSDT,long,,,,,50,,,,59200,,"recaps that his 50% came off at the top before the dump, and anyone who took the full 59.2k TP is completely out",,,"Got 50% at top then dumped, if you took 100% TP at 59.2k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521530366798594078
634,2026-06-30 17:58:28,call,BTCUSDT,long,58400,,,57000,,,,,,,re-longs BTC at market after the dump off 59.2k,,,"Long again

Entry: 58.4k CMP

SL: 57k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521530366798594078
634,2026-06-30 17:58:28,dca,BTCUSDT,long,,58000,,,25,,,,,,"anyone still in the older long can add back at 58k; he adds back the 25% he trimmed, the other 50% stays TPed",,,"If you're in the older trade just add some back at 58k, I'll add 25% back, 50% I took TP",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521530366798594078
635,2026-07-01 04:48:43,close,BTCUSDT,long,58372.7,,,,100,150,,150.34,58957.8,,"closes the re-long; card shows the 150x long from 58,372.7 at 58,957.8 (+150.34%) as he takes profit",,,Closed this after re-longing,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521694009968295996
636,2026-07-01 04:56:00,update,BTCUSDT,long,58486.2,,,,,150,0.5,119.03,58950.3,,"first of two BTC long scalps worth about 0.5R each - 150x from 58,486.2 at 58,950.3 (+119.03%)",,,Caught 2 long scalps of around 0.5Rs,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521695843718008913
636,2026-07-01 04:56:00,update,BTCUSDT,long,58372.7,,,,,150,0.5,150.34,58957.8,,"second of the two ~0.5R long scalps - same card as msg 635, 150x from 58,372.7 at 58,957.8 (+150.34%)",,,Caught 2 long scalps of around 0.5Rs,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521695843718008913
636,2026-07-01 04:56:00,update,BTCUSDT,short,,,,,,,,,,,the running BTC short is in profit and came very close to its target without filling it,,,"and short in profit almost touched our TP, almost!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521695843718008913
637,2026-07-01 04:56:25,close,BTCUSDT,short,59972.9,,,,100,150,,163.77,59318.1,,"takes the short off in profit after price bounced short of the target rather than waiting; card shows the 150x short from 59,972.9 closed at 59,318.1 (+163.77%) - he does not restate which TP he means",,,Short bounced near TP but in profit!,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521695945069170769
638,2026-07-01 04:58:53,close,BTCUSDT,long,,,,,100,,,,59200,,confirms both longs are out - the first one was closed earlier at 59.2k,,,"Incase anyone misses, longs are closed.

One was closed at 59.2k earlier",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521696567462068316
638,2026-07-01 04:58:53,close,BTCUSDT,long,,,,,100,,,,59000,,the second long (the re-long shown in msg 635) was closed at 59k just now,,,One at 59k rn.,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521696567462068316
639,2026-07-01 17:01:39,stopped_out,HYPEUSDT,long,,,,,,,,,,he had flagged the trade as risky and hopes people managed risk,"the HYPE long (entry 64.8, SL 62.7 from msg 630) was stopped out; no levels restated in this message",,,HYPE stopped mentioned it was risky so hopefully risk was managed.,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521878459138445590
640,2026-07-01 17:03:13,call,JUPUSDT,short,0.239,,,0.2703,,,,,,Save 25% for DCA,shorts JUP at market keeping a quarter of the size back for a DCA; no target given,,,"Short JUP

Entry: 0.239 CMP
Save 25% for DCA

SL: 0.2703",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521878850936635392
641,2026-07-01 17:17:49,close,BTCUSDT,long,58637.9,,,,100,250,,554.97,59939.6,,"MEXC card posted with the message shows a closed 250x BTC long, average entry 58,637.9 and average close 59,939.6 (+554.97%); the close is only stated by the card, not in the text",,,Personally longing BTC I think BTC has given it's move down and we will see 62k this week.,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1521882525780148336
641,2026-07-01 17:17:49,entry,BTCUSDT,long,,,,,,,,,,,is personally long BTC again because he thinks the move down is done and expects 62k this week; no levels given,,expects BTC at 62k this week,Personally longing BTC I think BTC has given it's move down and we will see 62k this week.,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521882525780148336
641,2026-07-01 17:17:49,update,BTCUSDT,short,,,,,,,,,,,"the short's target was missed by about $200, which annoys him, but a full DCA fill would be welcome",,,"Short TP missed by 200$ annoying, but a  DCA full will be nice",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521882525780148336
642,2026-07-01 17:24:05,close,BEATUSDT,long,2.6,,,,100,,,40,,,the BEAT spot buy around 2.6 gave exactly the 40% pump he called and he took profit; exit price not given,,,"As mentioned, BEAT gave exactly a 40% pump from our entry earlier, I TPed",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521884104709246986
642,2026-07-01 17:24:05,view,BEATUSDT,,,,,,,,,,4,,still expects a further 'scam pump' on BEAT up to $4 even though he is out,,,Still expecting a more scam pump upto 4$ on it,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521884104709246986
643,2026-07-01 17:57:23,update,BTCUSDT,long,,,,,,,,,,,"the BTC long never came near its stop, so it was a big win for anyone who took it",,,"And if you longed big win for you, never hit SL.",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1521892481598226644
644,2026-07-01 18:09:03,call,BTCUSDT,short,59800,,59000,61000,,,,,,,shorts BTC at market with a tight 59k target,,,"Short BTC

59.8k CMP

TP: 59k

SL: 61k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521895420002046186
645,2026-07-01 18:09:17,update,BTCUSDT,short,,,,,,,,,,,clarifies the new short is a scalp and that the older swing short is still running alongside it,,,"Scalp, swing running",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1521895476993982544
646,2026-07-01 18:10:15,dca,BTCUSDT,short,,60250,,,25,,,,,optional - the trade can also be run without a DCA,optional 25% add at 60250 for the scalp short,,,"You can add 25% at 60250 if you want, otherwise can just do without DCA",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521895722461692115
647,2026-07-01 19:01:27,dca,BTCUSDT,short,60050,,,,,,,,,calls the trade risky now and says anyone who wants to exit can,the 60250 DCA from msg 646 filled and the blended entry is now 60050,,,"DCA filled and at entry 60050, if anyone wants to exit this trade is risky.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521908605786525866
647,2026-07-01 19:01:27,tp_move,BTCUSDT,short,,,59500,,,,0.5,,,,pulls the target in from 59k to about 59500 to take 0.5R now that the trade looks risky,,,I'll exit for a 0.5R around 59500,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521908605786525866
648,2026-07-01 23:53:58,update,SOLUSDT,long,68.53,,,,,10,,130.23,77.46,,"SOL swing update: his 75 call was done at the weekend, 78 now, and he expects 80-82 by the coming weekend; card shows the 10x long from 68.53 at 77.46 (+130.23%)",,,"Well 75 was done at weekend, 78 now, 80-82 by this weekend",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1521982219034427674
649,2026-07-02 01:22:55,stopped_out,BTCUSDT,short,,,,,,,,,,he had already warned the trade was risky,the BTC short (SL 61k from msg 644) was stopped; it had been in profit and back at entry for a while but the move looked like a breakout and he took the chance,breakout,,"SL on our BTC short, was in profits and entry for a while mentioned it's risky now, looked like a breakout wanted to take a chance.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522004604768747550
650,2026-07-02 01:23:16,view,BTCUSDT,,,,,,,,,,62000,,admits he counter-traded his own call - he had said 62k was incoming and now sees 62-64k as due (range 62000-64000),,,"That said, I simply counter trade myself mentioned 62k is incoming 

62-64k is due now",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522004695873491156
651,2026-07-02 14:13:48,close,SOLUSDT,long,68.53,,,,100,10,,196.41,82.0,,"closes the SOL swing at 82, the top of the 80-82 zone he had been calling; notes he kept telling people to buy SOL at 66-67 right before the pump",,,Kept mentioning to buy SOL @ 66-67 right before pump,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522198606180778106
652,2026-07-02 15:19:14,call,ETHUSDT,short,1660,,1622,1690,,,,,1656,,"short ETH from his 1660 limit or 1656 CMP ('pr' is a typo for 'or'), first target 1622",,,"Short ETH

Entry: 1660 pr 1656 CMP

TP1 @ 1622

SL: 1690",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522215070954684630
653,2026-07-02 15:22:21,call,ETHUSDT,short,1662,,,,,,,,,,"corrects the limit for the ETH short from 1660 to 1662, though entering at CMP is fine",,,Sorry limit is 1662 but can enter at CMP,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1522215857973887027
654,2026-07-02 16:28:38,chat,ETHUSDT,,,,,,,,,,,,frustration that ETH trades never work out for him - implies the ETH short is going against him,,,Yeah never winning on ETH,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1522232535629828179
655,2026-07-02 16:29:21,view,BTCUSDT,,,,,,,,,,62000,,"his 62k call played out, and price got there without giving any pullback",,,62k was indeed incoming didn't get a pullback at all,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522232715468869885
656,2026-07-02 16:29:43,view,BTCUSDT,,,,,,,,,,59000,,expects at most a pullback into 59-60k (range 59000-60000) somewhere here and then a run to 66k,,,"Sometime here, a pullback to 59-60k at most then 66k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522232808960036934
657,2026-07-02 18:07:26,call,ETHUSDT,short,1702,,,1735,,,,,1697,,"shorts ETH again after the first attempt - his own entry is 1702, CMP is 1697; calls it one more try, no target given",,,"ETH short again

Entry: 1702 (my entry) or 1697 CMP

SL: 1735

One more try",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522257398717485066
658,2026-07-03 02:54:22,breakeven,ETHUSDT,short,1702.0,,,,100,150,,23.1,1699.37,playing safe after already taking one stop on ETH,"closes the ETH short around break even because he is not confident; card shows the 150x short from 1,702.00 at 1,699.37 (+23.1%)",,,"Closed ETH around break even, not feeling very confident, already had a SL playing safe.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522390007971713084
658,2026-07-03 02:54:22,plan,ETHUSDT,short,,,,1780,,,,,,,"offers a swing short with 1780 as the stop for anyone who wants it, but he is not taking it himself",,,Can try a swing short with 1780 as SL but I'm out,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522390007971713084
659,2026-07-03 02:57:25,call,XRPUSDT,long,1.086,,,1.0211,,,,,,,longs XRP at market; target to be posted once it starts moving,,,"Long XRP

Entry: 1.086 CMP

Will update TP once we start moving!

SL: 1.0211",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522390773365215243
660,2026-07-03 09:25:45,tp_set,XRPUSDT,long,1.087,,"1.1269, 1.16",,,125,,209.34,1.1052,,sets TP1 at 1.1269 and a TP2 at 1.16 for those who want to hold; card shows the 125x long from 1.0870 at 1.1052 (+209.34%),,,"TP @ 1.1269 
For those who want to hold TP2 @ 1.16",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522488502024147024
661,2026-07-03 13:07:10,update,XRPUSDT,long,,,1.1269,,,,,,,,clarifies he has taken no profit yet - TP1 is still 1.1269 and there is nothing before it,,,"Haven't TPed guys, TP1 is 1.1269 nothing before this",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1522544225290289212
662,2026-07-03 21:47:02,tp_hit,XRPUSDT,long,1.087,,1.1269,,100,125,,459.98,1.127,,TP1 filled; card shows the 125x long from 1.0870 closed at 1.1270 (+459.98%),,,XRP TP hit!,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522675053815267370
663,2026-07-03 23:53:23,view,BTCUSDT,,,,,,,,,,64000,,"expects 64k this weekend and 66k by next week; repeats his June call that July is a pumpy relief month, backed by a screenshot of those older messages",,July as a relief/bounce month,"64k this weekend, 66k by next week most probably.

It's a pumpy relief month.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522706848959037440
664,2026-07-04 04:13:31,call,ETHUSDT,short,1750,1760,1700,1800,,,,,,,shorts ETH at 1750 CMP or 1760 higher up; stop is a 4h close above 1780 with a hard stop at 1800,4h close,,"Short ETH

Entry: 1750 CMP or 1760

TP: 1700

SL: 4h close above 1780 or a hard SL @ 1800",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522772313517588621
665,2026-07-04 14:17:28,call,TAOUSDT,long,212.4,,,201.76,,,,,,,longs TAO at market; target to follow once it moves,,,"Long TAO

Entry: 212.4 CMP

TP once it moves some

SL: 201.76",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522924301941211237
666,2026-07-04 15:29:11,plan,ETHUSDT,short,,,,,,,,,,,wants out of the ETH short around break even: it has gone sideways and he thinks it is just preparing for another move up,,,"Better if we get out of ETH it's been going sideways and I think just preparing for another move up, will exit around BE.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522942351973286050
667,2026-07-04 18:13:03,tp_hit,XRPUSDT,long,1.0868,,1.16,,100,,,,1.162,,the 1.16 second target was reached for anyone who held past TP1; crop shows entry 1.0868 and average close 1.162,,,XRP full TP if someone held,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522983588046307388
668,2026-07-04 18:15:33,tp_set,TAOUSDT,long,212.45,,"219.4, 223",,,100,,123.25,215.07,,"TP1 219.4, where he personally exits the whole position, and TP2 223 for holders; card shows the 100x long from 212.45 at 215.07 (+123.25%)",,,"TAO TP1 @ 219.4 (I fully exit here personally)
TP2 @ 223",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522984219150647457
669,2026-07-04 18:18:40,update,ETHUSDT,short,,,,,,,,,,,exiting near break even earlier was fine; anyone still in should keep holding because he is still in and will exit manually and post when he closes,,,"If someone exit ETH around BE earlier good.

If you didn't, keep holding, I'm still holding I'll manually exit and update when I close!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1522985001774485644
670,2026-07-04 20:36:59,close,TAOUSDT,long,212.45,,,,100,100,,278.02,218.36,,"takes profit at 218.36, just under the 219.4 TP1, because price almost rejected from the target; card shows the 100x long from 212.45 closed at 218.36 (+278.02%)",,,"TPed on TAO, almost rejected from TP, decent win!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1523019813197316169
671,2026-07-04 23:07:23,call,ZECUSDT,short,469,,,492.6,,,,,,flagged as risky,shorts ZEC and labels the setup risky; target to be posted once it moves,,,"Short ZEC (risky)

Entry: 469

SL: 492.6",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1523057662940414053
